Opening file net-stats-DvsPortset-2-30sec.txt
CPU stats for n294-esxi-ht-04.sc.sero.gic.ericsson.se
Iteration Number=0
|                     Name                     |    Id    |  used | latencySensitivity | exclaff |
entries with exclaff
|                     Name                     |    Id    |  used | latencySensitivity | exclaff |
| vmx-vcpu-0:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867623 | 100.0 |         -1         |   107   |
| vmx-vcpu-1:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867625 | 100.0 |         -1         |   106   |
| vmx-vcpu-2:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867626 | 100.0 |         -1         |    72   |
| vmx-vcpu-3:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867627 | 100.0 |         -1         |    73   |
| vmx-vcpu-4:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867628 | 100.0 |         -1         |    76   |
| vmx-vcpu-5:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867629 | 100.0 |         -1         |    77   |
| vmx-vcpu-6:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867630 | 100.0 |         -1         |    95   |
| vmx-vcpu-7:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867631 | 100.0 |         -1         |    94   |
| vmx-vcpu-8:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867632 | 100.0 |         -1         |    80   |
| vmx-vcpu-9:standard5gc-htnp-b9f7d6d9b-dgf66  | 29867633 | 100.0 |         -1         |    81   |
| vmx-vcpu-10:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867634 | 100.0 |         -1         |    62   |
| vmx-vcpu-11:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867635 | 100.0 |         -1         |    63   |
| vmx-vcpu-12:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867636 | 100.0 |         -1         |    60   |
| vmx-vcpu-13:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867637 | 100.0 |         -1         |    61   |
| vmx-vcpu-14:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867638 | 100.0 |         -1         |    58   |
| vmx-vcpu-15:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867639 | 100.0 |         -1         |    59   |
| vmx-vcpu-16:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867640 | 100.0 |         -1         |   104   |
| vmx-vcpu-17:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867641 | 100.0 |         -1         |   105   |
| vmx-vcpu-18:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867642 | 100.0 |         -1         |    66   |
| vmx-vcpu-19:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867643 | 100.0 |         -1         |    67   |
| vmx-vcpu-20:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867644 | 100.0 |         -1         |    69   |
| vmx-vcpu-21:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867645 | 100.0 |         -1         |    68   |
| vmx-vcpu-22:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867646 | 100.0 |         -1         |    83   |
| vmx-vcpu-23:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867647 | 100.0 |         -1         |    82   |
| vmx-vcpu-24:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867648 | 100.0 |         -1         |    88   |
| vmx-vcpu-25:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867649 | 100.0 |         -1         |    89   |
| vmx-vcpu-26:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867650 | 100.0 |         -1         |   109   |
| vmx-vcpu-27:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867651 | 100.0 |         -1         |   108   |
| vmx-vcpu-28:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867652 | 100.0 |         -1         |    96   |
| vmx-vcpu-29:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867653 | 100.0 |         -1         |    97   |
| vmx-vcpu-30:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867654 | 100.0 |         -1         |    84   |
| vmx-vcpu-31:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867655 | 100.0 |         -1         |    85   |
| vmx-vcpu-32:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867656 | 100.0 |         -1         |   102   |
| vmx-vcpu-33:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867657 | 100.0 |         -1         |   103   |
| vmx-vcpu-34:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867658 | 100.0 |         -1         |    90   |
| vmx-vcpu-35:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867659 | 100.0 |         -1         |    91   |
| vmx-vcpu-36:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867660 | 100.0 |         -1         |   111   |
| vmx-vcpu-37:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867661 | 100.0 |         -1         |   110   |
| vmx-vcpu-38:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867662 | 100.0 |         -1         |    74   |
| vmx-vcpu-39:standard5gc-htnp-b9f7d6d9b-dgf66 | 29867663 | 100.0 |         -1         |    75   |
| vmx-vcpu-0:standard5gc-htnp-b9f7d6d9b-z574b  | 29912186 | 100.0 |         -1         |    44   |
| vmx-vcpu-1:standard5gc-htnp-b9f7d6d9b-z574b  | 29912188 | 100.0 |         -1         |    45   |
| vmx-vcpu-2:standard5gc-htnp-b9f7d6d9b-z574b  | 29912189 | 100.0 |         -1         |    43   |
| vmx-vcpu-3:standard5gc-htnp-b9f7d6d9b-z574b  | 29912190 | 100.0 |         -1         |    42   |
| vmx-vcpu-4:standard5gc-htnp-b9f7d6d9b-z574b  | 29912191 | 100.0 |         -1         |    52   |
| vmx-vcpu-5:standard5gc-htnp-b9f7d6d9b-z574b  | 29912192 | 100.0 |         -1         |    53   |
| vmx-vcpu-6:standard5gc-htnp-b9f7d6d9b-z574b  | 29912193 | 100.0 |         -1         |    6    |
| vmx-vcpu-7:standard5gc-htnp-b9f7d6d9b-z574b  | 29912194 | 100.0 |         -1         |    7    |
| vmx-vcpu-8:standard5gc-htnp-b9f7d6d9b-z574b  | 29912195 | 100.0 |         -1         |    36   |
| vmx-vcpu-9:standard5gc-htnp-b9f7d6d9b-z574b  | 29912196 | 100.0 |         -1         |    37   |
| vmx-vcpu-10:standard5gc-htnp-b9f7d6d9b-z574b | 29912197 | 100.0 |         -1         |    34   |
| vmx-vcpu-11:standard5gc-htnp-b9f7d6d9b-z574b | 29912198 | 100.0 |         -1         |    35   |
| vmx-vcpu-12:standard5gc-htnp-b9f7d6d9b-z574b | 29912199 | 100.0 |         -1         |    49   |
| vmx-vcpu-13:standard5gc-htnp-b9f7d6d9b-z574b | 29912200 | 100.0 |         -1         |    48   |
| vmx-vcpu-14:standard5gc-htnp-b9f7d6d9b-z574b | 29912201 | 100.0 |         -1         |    26   |
| vmx-vcpu-15:standard5gc-htnp-b9f7d6d9b-z574b | 29912202 | 100.0 |         -1         |    27   |
| vmx-vcpu-16:standard5gc-htnp-b9f7d6d9b-z574b | 29912203 | 100.0 |         -1         |    21   |
| vmx-vcpu-17:standard5gc-htnp-b9f7d6d9b-z574b | 29912204 | 100.0 |         -1         |    20   |
| vmx-vcpu-18:standard5gc-htnp-b9f7d6d9b-z574b | 29912205 | 100.0 |         -1         |    17   |
| vmx-vcpu-19:standard5gc-htnp-b9f7d6d9b-z574b | 29912206 | 100.0 |         -1         |    16   |
| vmx-vcpu-20:standard5gc-htnp-b9f7d6d9b-z574b | 29912207 | 100.0 |         -1         |    46   |
| vmx-vcpu-21:standard5gc-htnp-b9f7d6d9b-z574b | 29912208 | 100.0 |         -1         |    47   |
| vmx-vcpu-22:standard5gc-htnp-b9f7d6d9b-z574b | 29912209 | 100.0 |         -1         |    15   |
| vmx-vcpu-23:standard5gc-htnp-b9f7d6d9b-z574b | 29912210 | 100.0 |         -1         |    14   |
| vmx-vcpu-24:standard5gc-htnp-b9f7d6d9b-z574b | 29912211 | 100.0 |         -1         |    30   |
| vmx-vcpu-25:standard5gc-htnp-b9f7d6d9b-z574b | 29912212 | 100.0 |         -1         |    31   |
| vmx-vcpu-26:standard5gc-htnp-b9f7d6d9b-z574b | 29912213 | 100.0 |         -1         |    25   |
| vmx-vcpu-27:standard5gc-htnp-b9f7d6d9b-z574b | 29912214 | 100.0 |         -1         |    24   |
| vmx-vcpu-28:standard5gc-htnp-b9f7d6d9b-z574b | 29912215 | 100.0 |         -1         |    10   |
| vmx-vcpu-29:standard5gc-htnp-b9f7d6d9b-z574b | 29912216 | 100.0 |         -1         |    11   |
| vmx-vcpu-30:standard5gc-htnp-b9f7d6d9b-z574b | 29912217 | 100.0 |         -1         |    4    |
| vmx-vcpu-31:standard5gc-htnp-b9f7d6d9b-z574b | 29912218 | 100.0 |         -1         |    5    |
| vmx-vcpu-32:standard5gc-htnp-b9f7d6d9b-z574b | 29912219 | 100.0 |         -1         |    19   |
| vmx-vcpu-33:standard5gc-htnp-b9f7d6d9b-z574b | 29912220 | 100.0 |         -1         |    18   |
| vmx-vcpu-34:standard5gc-htnp-b9f7d6d9b-z574b | 29912221 | 100.0 |         -1         |    41   |
| vmx-vcpu-35:standard5gc-htnp-b9f7d6d9b-z574b | 29912222 | 100.0 |         -1         |    40   |
| vmx-vcpu-36:standard5gc-htnp-b9f7d6d9b-z574b | 29912223 | 100.0 |         -1         |    33   |
| vmx-vcpu-37:standard5gc-htnp-b9f7d6d9b-z574b | 29912224 | 100.0 |         -1         |    32   |
| vmx-vcpu-38:standard5gc-htnp-b9f7d6d9b-z574b | 29912225 | 100.0 |         -1         |    28   |
| vmx-vcpu-39:standard5gc-htnp-b9f7d6d9b-z574b | 29912226 | 100.0 |         -1         |    29   |
|                  net-stats                   | 30113386 |  0.15 |         NA         |    NA   |
