Opening files sched-stats-30sec.txt and net-stats-DvsPortset-2-30sec.txt
Scheduler stats
vCPU affinity info for n294-esxi-ht-04.sc.sero.gic.ericsson.se
Iteration Number=0
+----------------------------------------------+----------+-------+--------------------+--------------+------+
|                     Name                     |    Id    |  used | latencySensitivity | vcpu_exclaff | node |
| vmx-vcpu-7:standard5gc-htnp-b9f7d6d9b-z574b  | 29912194 | 100.0 |         -1         |      7       |  0   |
| vmx-vcpu-8:standard5gc-htnp-b9f7d6d9b-z574b  | 29912195 | 100.0 |         -1         |      36      |  0   |
| vmx-vcpu-9:standard5gc-htnp-b9f7d6d9b-z574b  | 29912196 | 100.0 |         -1         |      37      |  0   |
| vmx-vcpu-10:standard5gc-htnp-b9f7d6d9b-z574b | 29912197 | 100.0 |         -1         |      34      |  0   |
| vmx-vcpu-11:standard5gc-htnp-b9f7d6d9b-z574b | 29912198 | 100.0 |         -1         |      35      |  0   |
| vmx-vcpu-12:standard5gc-htnp-b9f7d6d9b-z574b | 29912199 | 100.0 |         -1         |      49      |  0   |
| vmx-vcpu-13:standard5gc-htnp-b9f7d6d9b-z574b | 29912200 | 100.0 |         -1         |      48      |  0   |
| vmx-vcpu-14:standard5gc-htnp-b9f7d6d9b-z574b | 29912201 | 100.0 |         -1         |      26      |  0   |
| vmx-vcpu-15:standard5gc-htnp-b9f7d6d9b-z574b | 29912202 | 100.0 |         -1         |      27      |  0   |
| vmx-vcpu-16:standard5gc-htnp-b9f7d6d9b-z574b | 29912203 | 100.0 |         -1         |      21      |  0   |
| vmx-vcpu-17:standard5gc-htnp-b9f7d6d9b-z574b | 29912204 | 100.0 |         -1         |      20      |  0   |
| vmx-vcpu-18:standard5gc-htnp-b9f7d6d9b-z574b | 29912205 | 100.0 |         -1         |      17      |  0   |
| vmx-vcpu-19:standard5gc-htnp-b9f7d6d9b-z574b | 29912206 | 100.0 |         -1         |      16      |  0   |
| vmx-vcpu-20:standard5gc-htnp-b9f7d6d9b-z574b | 29912207 | 100.0 |         -1         |      46      |  0   |
| vmx-vcpu-21:standard5gc-htnp-b9f7d6d9b-z574b | 29912208 | 100.0 |         -1         |      47      |  0   |
| vmx-vcpu-22:standard5gc-htnp-b9f7d6d9b-z574b | 29912209 | 100.0 |         -1         |      15      |  0   |
| vmx-vcpu-23:standard5gc-htnp-b9f7d6d9b-z574b | 29912210 | 100.0 |         -1         |      14      |  0   |
| vmx-vcpu-24:standard5gc-htnp-b9f7d6d9b-z574b | 29912211 | 100.0 |         -1         |      30      |  0   |
| vmx-vcpu-25:standard5gc-htnp-b9f7d6d9b-z574b | 29912212 | 100.0 |         -1         |      31      |  0   |
| vmx-vcpu-26:standard5gc-htnp-b9f7d6d9b-z574b | 29912213 | 100.0 |         -1         |      25      |  0   |
| vmx-vcpu-27:standard5gc-htnp-b9f7d6d9b-z574b | 29912214 | 100.0 |         -1         |      24      |  0   |
| vmx-vcpu-28:standard5gc-htnp-b9f7d6d9b-z574b | 29912215 | 100.0 |         -1         |      10      |  0   |
| vmx-vcpu-29:standard5gc-htnp-b9f7d6d9b-z574b | 29912216 | 100.0 |         -1         |      11      |  0   |
| vmx-vcpu-30:standard5gc-htnp-b9f7d6d9b-z574b | 29912217 | 100.0 |         -1         |      4       |  0   |
| vmx-vcpu-31:standard5gc-htnp-b9f7d6d9b-z574b | 29912218 | 100.0 |         -1         |      5       |  0   |
| vmx-vcpu-32:standard5gc-htnp-b9f7d6d9b-z574b | 29912219 | 100.0 |         -1         |      19      |  0   |
| vmx-vcpu-33:standard5gc-htnp-b9f7d6d9b-z574b | 29912220 | 100.0 |         -1         |      18      |  0   |
| vmx-vcpu-34:standard5gc-htnp-b9f7d6d9b-z574b | 29912221 | 100.0 |         -1         |      41      |  0   |
| vmx-vcpu-35:standard5gc-htnp-b9f7d6d9b-z574b | 29912222 | 100.0 |         -1         |      40      |  0   |
| vmx-vcpu-36:standard5gc-htnp-b9f7d6d9b-z574b | 29912223 | 100.0 |         -1         |      33      |  0   |
| vmx-vcpu-37:standard5gc-htnp-b9f7d6d9b-z574b | 29912224 | 100.0 |         -1         |      32      |  0   |
| vmx-vcpu-38:standard5gc-htnp-b9f7d6d9b-z574b | 29912225 | 100.0 |         -1         |      28      |  0   |
| vmx-vcpu-39:standard5gc-htnp-b9f7d6d9b-z574b | 29912226 | 100.0 |         -1         |      29      |  0   |
|                  net-stats                   | 30113386 |  0.15 |         NA         |      NA      |  NA  |
+----------------------------------------------+----------+-------+--------------------+--------------+------+
